question,answer
"Когда был образован Санкт-Петербургский Союз строительных компаний «Союзпетрострой»?","Учредительное собрание прошло 21 декабря 1994 г., а документы Союза были зарегистрированы 27 февраля 1995 г."
"Кто был первым президентом и директором «Союзпетростроя»?","Президентом избрали депутата Законодательного собрания В. М. Гольмана, директором стал профессор, д. э. н. Л. М. Каплан."
"Сколько человек работало в дирекции Союза в начале его деятельности?","Первоначальная дирекция состояла из пяти сотрудников под руководством Л. М. Каплана."
"Какие крупные организации подписали учредительный устав Союза?","Среди подписантов были «Метрострой», «Энергомашстрой», «Трест 36», «Гатчинский ССК», «Мостострой-6», ЛИСИ и «Трест 39»."
"Откуда происходили организации-учредители?","Они представляли бывшие ведомственные структуры: Главленинградстрой, Главзапстрой, Министерство транспортного строительства и др."
"Почему образование Союза было необычным для того времени?","Впервые компании из разных ведомств объединились в одну общественную ассоциацию, преодолев административные перегородки советской системы."
"Где проходили обучение многие руководители-учредители?","Большинство из них училось в Манчестерском университете науки и технологий (UMIST) и знакомилось там с опытом зарубежных отраслевых ассоциаций."
"Какая была главная задача Союза в первый год работы?","Наладить сбор информации о деятельности компаний и их проблемах, чтобы эффективно представлять интересы участников."
"Когда и зачем начала выходить издание «Справочник Союзпетростроя»?","С 1996 года Союз выпускает структурированный справочник с данными о входящих компаниях для наведения порядка в отраслевой информации."
"С какими властями и по каким темам Союз проводил совещания в 1995-1996 годах?","Проходили встречи с мэрией и депстроем Санкт-Петербурга (А. А. Собчак, В. А. Яковлев и др.) по Олимпийским играм, тендерам, инвестпрограмме и кредитованию жилья Всемирным банком."
"Какую законодательную инициативу Союз внёс в Законодательное собрание в 1995 году?","Президент В. М. Гольман представил проект закона «О создании условий для инвестиционно-строительной деятельности в Санкт-Петербурге»."
"Какие профессиональные клубы были созданы на базе Союза в 1996 году?","Клуб главных бухгалтеров и Клуб юристов, где приглашённые аудиторы и юристы обсуждали актуальные финансовые и правовые вопросы отрасли."
"Какие информационные сервисы Союз предоставлял компаниям в 1997 году?","Электронные базы данных о строящихся и реконструируемых объектах и рассылка сведений о тендерах и запросах на работы."
"Насколько выросло членство Союза за первые пять лет?","К 1999 году число компаний достигло 227, увеличение в 5,8 раз по сравнению с 1995 годом."
"Какие типы организаций кроме строителей входили в Союз?","Производители стройматериалов, профильные вузы, страховые компании, коммерческие банки, издательства и другие участники инвест-строительного комплекса."
"Как участие страховых компаний помогло отрасли?","Членство 12 страховых фирм позволило совместно со строителями создать систему страхования строительных рисков."
"Сколько аналитических материалов выпустила дирекция за первые пять лет?","Опубликовано 19 обзоров, пособий и докладов о состоянии строительного рынка."
"Что такое система долевого участия с элементом ипотеки, разработанная Союзом в 1998-1999 годах?","Это схема привлечения средств граждан под строительство жилья с последующим ипотечным кредитованием, оформленная совместно с «Балтийским банком»."
"Для чего был создан Совет ассоциаций и союзов инвестиционного и градостроительного комплекса Санкт-Петербурга?","После кризиса 1998 года он объединил профорганизации для взаимных расчётов, продвижения ипотеки и решения общегородских проблем; стал прообразом Союза строительных объединений (2002 г.)."
"Какие иностранные компании являлись членами Союза в 1990-е годы?","Среди них «Skanska», «NCC», «Honeywell», «Onninen», «Schlumberger Industries», «Tikkurila», «Deutsche Doka» и др., что укрепило международные связи отрасли."
"Как Союз содействовал достижению рубежа в миллион квадратных метров жилья в 1999 году?","Он поддерживал застройщиков-членов («Энергомашстрой», «ЛенСпецСМУ», «ДСК-3» и др.) и продвигал схемы долевого строительства."
